Goal,CQ ID,CQ,Web Portal,Dashboard
Share content,Laurent1-Q6,How can I share what I find on the site?,Yes,Yes
,Andrea1-Q5,How can I share what I find on the site?,Yes,Yes
Search content,Amy1-CQ1,"Search organs with the possibility to combine searches, based on various features.",Yes,Yes
,Laurent1-Q1,"Search for a musical content by applying filters (genre, historical period ...).",Yes,Yes
,Andrea1-Q1,Can I find interesting materials without applying filters?,Yes,Yes
Personalize content,Laurent1-Q5,Can a user add resources?,Yes,Yes
,Andrea1-Q3,Is there a way of visualizing all the materials connected to my interests?,Yes,Yes
,Andrea1-Q6,How can I personalize my navigation experience without knowing the filtering criteria or the materials' characteristics?,Yes,Yes
Learn more about content,Sonia1-CQ6,What information is available for the composer(s)/musician(s)?,,Yes
,Sonia2-CQ3,Which feature is selected to create the shuffle?,,Yes
,Ralph1-CQ6,How can one describe and classify a scenario?,,Yes
,Amy1-CQ7,Where can more information be found about a specific organ/organ builder/time period/location/etc.? / Which literature or resources contain information about a specific organ/organ builder/time period/location/etc.?,Yes,Yes
,Frank1-Q1,"Search organs with the possibility to combine searches, based on various features. (In this scenario: city, building, organ builder, disposition)",Yes,Yes
,Laurent1-Q3,Is the music resource X complete or incomplete?,Yes,Yes
Find relation between different content,Keith1-CQ1,Can we find connection (relations) between different artists and music?,,Yes
,Keith1-CQ3,"Can we visualize the relations between different media, different music etc?",,Yes
,Mark1-CQ5,Which tunes share their geographical origin?,,Yes
,Mark2-CQ6,"Can we see interconnections between organs, e.g. same builder",,Yes
,Ortenz2-CQ23,Did musician X and performer Y ever met?,,Yes
,Ortenz2-CQ23,Where did musician X and performer Y met?,,Yes
,William1-CQ4,Which composers and performers are related to these compositions?,,Yes
,Sonia1-CQ2,With which image/textual information/multimedia/musical piece is the selected musical piece connected to inside/outside the playlist?,,Yes
,Sonia1-CQ8,"Has another musical piece ""the user likes"" been recorded in the same venue?",,Yes
,Sonia2-CQ1,What is the connection between two musical pieces?,,Yes
,Sonia2-CQ5,Which is the immediate previous/next musical piece?,,Yes
,Sonia2-CQ6,Is a musical piece connected to another musical piece by common people?,,Yes
,Ralph1-CQ3,"How do libretto and music relate, e.g. in describing an emotion?",,Yes
,Ralph1-CQ4,"How does the presentation (text and music) of a work, e.g. an operatic aria, change over time, and depending on the artist?",,Yes
,Ralph1-CQ5,"How have the music and libretto been influenced by the historical, e.g. social, political and cultural, environment?",,Yes
